"","GO.ID","Term","Annotated","Significant","Expected","classic"
"8","GO:0042254","ribosome biogenesis",218,6,0.84,"0.00015"
"9","GO:0000226","microtubule cytoskeleton organization",224,6,0.86,"0.00018"
"10","GO:0022613","ribonucleoprotein complex biogenesis",291,6,1.12,"0.00073"
"11","GO:0071840","cellular component organization or biogenesis",1765,15,6.8,"0.00101"
"12","GO:0010467","gene expression",2008,16,7.74,"0.00126"
"13","GO:0019538","protein metabolic process",1809,15,6.97,"0.00132"
"14","GO:1901564","organonitrogen compound metabolic process",2273,17,8.76,"0.00165"
"15","GO:0007017","microtubule-based process",373,6,1.44,"0.00262"
"16","GO:0044249","cellular biosynthetic process",2621,18,10.1,"0.00302"
"17","GO:0007010","cytoskeleton organization",409,6,1.58,"0.00415"
"18","GO:1901576","organic substance biosynthetic process",2701,18,10.41,"0.00437"
"19","GO:0009059","macromolecule biosynthetic process",2260,16,8.71,"0.00472"
"20","GO:0009058","biosynthetic process",2734,18,10.54,"0.00506"
"21","GO:0000278","mitotic cell cycle",198,4,0.76,"0.00666"
"22","GO:0007049","cell cycle",333,5,1.28,"0.00826"
"23","GO:0044085","cellular component biogenesis",788,8,3.04,"0.00838"
"24","GO:0006996","organelle organization",984,9,3.79,"0.00977"
"25","GO:0034641","cellular nitrogen compound metabolic process",2490,16,9.6,"0.01301"
