"","Beaker","Stage.x","Treatment","mean.blast.per.mL","blast.se.prop","MatePair","Stage.y","mean.plut.per.mL","plut.se.prop","prop_survival"
"1","A_B1","Blastula","Control",29.8,1.23333333333333,"Pair 1","Pluteus",14.2,1.30341431973448,-0.523489932885906
"2","A_B2","Blastula","100 ppb",39.6,1.32329554941861,"Pair 1","Pluteus",13.4,0.667499479816693,-0.661616161616162
"3","A_B3","Blastula","500 ppb",36,1.69967317119759,"Pair 1","Pluteus",15.2,0.991071249821234,-0.577777777777778
"4","A_B4","Blastula","1000 ppb",19.2,0.933333333333333,"Pair 1","Pluteus",10.8,0.819213715162967,-0.4375
"5","A_B5","Blastula","Control",22,1.20185042515466,"Pair 2","Pluteus",8.6,0.7,-0.609090909090909
"6","A_B6","Blastula","100 ppb",18.4,1.38082101181387,"Pair 2","Pluteus",5,0.372677996249965,-0.728260869565217
"7","A_B7","Blastula","500 ppb",16.8,0.52068331172711,"Pair 2","Pluteus",3.8,0.546707315561891,-0.773809523809524
"8","A_B8","Blastula","1000 ppb",16.8,0.52068331172711,"Pair 2","Pluteus",0,0,-1
"9","B_B10","Blastula","100 ppb",20.2,1.27758452644912,"Pair 3","Pluteus",13.2,0.896908269804914,-0.346534653465347
"10","B_B11","Blastula","500 ppb",21.2,1.29271462864435,"Pair 3","Pluteus",14,1.26491106406735,-0.339622641509434
"11","B_B12","Blastula","1000 ppb",13.8,1.15902257671425,"Pair 3","Pluteus",13.2,1.03494497975067,-0.0434782608695653
"12","B_B13","Blastula","Control",15.8,0.657436097443867,"Pair 4","Pluteus",9,0.542627353203324,-0.430379746835443
"13","B_B14","Blastula","100 ppb",15.6,0.85374989832438,"Pair 4","Pluteus",2.8,0.371184290855335,-0.820512820512821
"14","B_B15","Blastula","500 ppb",14.8,0.561743318211757,"Pair 4","Pluteus",9.2,1.04562580942387,-0.378378378378378
"15","B_B16","Blastula","1000 ppb",9.6,0.611010092660779,"Pair 4","Pluteus",11.8,0.62271805640898,0.229166666666667
"16","B_B9","Blastula","Control",19.2,1.4,"Pair 3","Pluteus",15,1.11803398874989,-0.21875
